course_code,course_name,degree_count
ECON1000,Principles of Economics,19
ACCT1000,Accounting for Decision Makers,15
BUSI1001,Business Law,15
BUSI1002,"Management, Organisations and Leadership",15
PROJ3006,Project Logistics and Supply Chains,10
PROJ1001,Scheduling and Cost Management,10
PROJ1000,Foundations of Project Management,10
MDIA3017,Strategic Planning for Media and Communication,10
MDIA2102,Promotional Culture,10
MDIA2022,"Media Law, Policy and Ethics",10
MDIA2021,Research Methods in Media and Communication,10
MARK1000,Marketing Principles,10
GRAP1004,Digital Design Principles and Methods,10
BUSI3013,Strategic Management,10
BUSI2002,"Negotiation, Conflict Management and Resolution",10
BUSI2001,"Emerging Technologies, Data and Business Analytics",10
ECON1012,Data Analytics,9
ARTI3000,Business Applications for Artificial Intelligence,5
BUSI1009,Predictive and Visual Analytics for Managers and Consultants,5
MARK1013,UO Marketing Principles: Trading and Exchange,5
ECON1010,UO Principles of Economics,5
BUSI2019,UO Management and Organisation,5
BAFI1001,Business Finance,5
LAWS1018,UO Business Law,4
ACCT1005,UO Accounting for Business,4
BUSI1030,UO Career Development in Business,4
IBUS3008,UO International Business Environments,4
BUSI2021,UO Entrepreneurship for Social and Market Impact,4
ECON2000,Intermediate Macroeconomics,4
INFO2022,UO Business Intelligence,3
ECON2001,Global Economic History,3
MATH1028,UO Quantitative Methods for Business,3
BAFI2025,UO Business Finance,2
BUSI3031,UO Managing Decision Making,2
ECON1011,UO Macroeconomics,2
BUSI3033,UO Strategic Management,2
BUSI3034,UO Strategic Financial Analysis,2
LAWS2012,UO Companies and Partnership Law,2
LAWS3007,UO Taxation Law 1,2
ACCT2004,UO Management Accounting,2
BUSI2020,UO Project Management: Principles and Strategies,2
BUSI2017,UO Organisational Behaviour,2
BAFI3010,UO Portfolio and Fund Management,2
INFO3020,UO Risk Management and Governance,1
ACCT3006,UO Sustainability Accounting and Reporting,1
IBUS1001,OL International Business Environment (UoA),1
INFO1020,UO Information Technology Fundamentals,1
IBUS3010,OL Corporate Responsibility for Global Business,1
HRES3006,Human Resources Management,1
IBUS3009,OL Managing Across Cultures (UoA),1
IBUS3007,OL Internationalisation of Small and Medium-sized Enterprises (UoA),1
IBUS2006,OL International Business Operations (UoA),1
HRES2012,UO Foundations of Human Resource Management,1
INFO2028,UO Cloud Platforms,1
BAFI3009,UO Estate Planning,1
MARK1010,OL Introduction to Marketing,1
MARK1016,OL Building and Managing Brands,1
SOCI2019,Professional Pathways and Destinations 2,1
SOCI2001,Passions and Interests: The History of Greed,1
SOCI1006,The Anatomy of Social Problems: Social Critique and Policy,1
ACCT1006,UO Financial Accounting 1,1
ACCT2003,UO Financial Accounting 2,1
POLI4000,Introduction to Politics,1
POLI3010,"Choices, Models, and Morals",1
POLI2013,OL International Trade: Strategies and Opportunities,1
POLI2012,OL International Trade: Negotiations and Agreements,1
POLI2003,Principles of Social Policy,1
POLI1000,Introduction to Australian Politics,1
PHIL2016,Ethical Theories: Their Foundations and Practical Applications,1
PHIL1002,Philosophy: Key Thinkers,1
PHIL1001,Philosophy: Big Questions,1
ACCT3003,UO Auditing Theory and Practice,1
ACCT3004,UO Contemporary Issues in Accounting,1
ACCT3005,UO Financial Accounting 3,1
ECONX403,Microeconomic Theory,1
MARK3009,OL Marketing Communications in a Digital World,1
MARK3014,OL Marketing to the World,1
ECON3006,Econometrics,1
ECONX402,Macroeconomic Theory,1
BAFI1004,UO Personal Finance,1
BUSI3025,UO Digital Business Solutions,1
BAFI1003,UO Financial Markets and Institutions,1
BUSI2053,OL Entrepreneurship Foundations and Mindset,1
BUSI2052,OL Personal Professional Development,1
BUSI2025,OL Business Information Systems and Management,1
BUSI2024,OL Business Operations Management,1
BUSI2023,UO Digital Solution Methodologies,1
BUSI2014,UO Designing Digital Solutions,1
BAFI2016,UO Introduction to Financial Planning,1
BUSI3030,UO International Management Ethics and Values,1
BUSI1040,OL Managing Organisations and People,1
BUSI1039,Business Lifecycles,1
BUSI1020,UO Introduction to Digital Disruption in Business,1
BUSI1019,UO Exploring Digital Technology in Business,1
BAFI3008,UO Applied Financial Planning,1
BAFI3013,UO International Currency and Banking Markets,1
BAFI3012,UO Superannuation,1
BAFI3011,UO Risk Management and Insurance,1
BUSI3026,UO Digital Business Value,1
BUSI3032,UO Organisational Leadership,1
ECONX401,Econometric Theory,1
ECON2006,Intermediate Econometrics,1
ECON4800,Economics Research Thesis,1
ECON3801,Economic Analysis,1
ECON3800,Economic Policy Analysis,1
ECON3008,UO International Economics,1
ECON3007,UO Economics of Public Policy,1
ECON2009,UO Growth Development and the Macroeconomy,1
ECON2008,UO Empirical Business Analysis,1
ECON2007,UO Economic Analysis of Business Decisions,1
ECON2005,Intermediate Microeconomics,1
BUSI3035,UO Organisational Entrepreneurship,1
ECON2003,Intermediate Applied Microeconomics,1
ACCT1004,OL Introductory Accounting,1
ECON1003,Mathematical Economics,1
ECON1002,Introduction to Mathematical Economics,1
COMM2002,UO Communication and Organisational Practices,1
BUSI3044,OL Systems Thinking for a Complex World,1
BUSI3043,Managing Conflict and Change,1
BUSI3042,OL Strategic Management (UoA),1
STAT1007,OL Data Analytics I,1
