,Bachelor of Accounting,Bachelor of Business,"Bachelor of Business (Economics, Finance and Trade)",Bachelor of Business (Financial Planning),Bachelor of Business (Management),Bachelor of Business majoring in Digital Business,Bachelor of Business majoring in Human Resource Management,"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",Bachelor of Business majoring in International Business,Bachelor of Business majoring in Management,Bachelor of Business majoring in Marketing,Bachelor of Business majoring in Marketing and Design,Bachelor of Business majoring in Procurement and Supply Chain Management,Bachelor of Business majoring in Project Management,Bachelor of Commerce majoring in Accounting,Bachelor of Commerce majoring in Banking and Finance,Bachelor of Commerce majoring in Business Analytics,Bachelor of Commerce majoring in Financial Planning,Bachelor of Commerce majoring in Property,Bachelor of Digital Business,Bachelor of Economics,Bachelor of Economics (Honours),Bachelor of Economics majoring in Advanced Analysis,Bachelor of International Business,"Bachelor of Philosophy, Politics and Economics"
Bachelor of Accounting,0,0,9,10,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
Bachelor of Business,0,0,0,0,0,16,16,16,16,16,16,16,16,16,4,4,4,4,4,0,1,1,1,0,1
"Bachelor of Business (Economics, Finance and Trade)",9,0,0,11,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Bachelor of Business (Financial Planning),10,0,11,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
Bachelor of Business (Management),6,0,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
Bachelor of Business majoring in Digital Business,0,16,0,0,0,0,16,16,16,16,16,16,16,16,4,4,4,4,4,0,1,1,1,0,1
Bachelor of Business majoring in Human Resource Management,0,16,0,0,0,16,0,16,16,16,16,16,16,16,4,4,4,4,4,0,1,1,1,0,1
"Bachelor of Business majoring in Innovation, Entrepreneurship and Strategy",0,16,0,0,0,16,16,0,16,16,16,16,16,16,4,4,4,4,4,0,1,1,1,0,1
Bachelor of Business majoring in International Business,0,16,0,0,0,16,16,16,0,16,16,16,16,16,4,4,4,4,4,0,1,1,1,0,1
Bachelor of Business majoring in Management,0,16,0,0,0,16,16,16,16,0,16,16,16,16,4,4,4,4,4,0,1,1,1,0,1
Bachelor of Business majoring in Marketing,0,16,0,0,0,16,16,16,16,16,0,16,16,16,4,4,4,4,4,0,1,1,1,0,1
Bachelor of Business majoring in Marketing and Design,0,16,0,0,0,16,16,16,16,16,16,0,16,16,4,4,4,4,4,0,1,1,1,0,1
Bachelor of Business majoring in Procurement and Supply Chain Management,0,16,0,0,0,16,16,16,16,16,16,16,0,16,4,4,4,4,4,0,1,1,1,0,1
Bachelor of Business majoring in Project Management,0,16,0,0,0,16,16,16,16,16,16,16,16,0,4,4,4,4,4,0,1,1,1,0,1
Bachelor of Commerce majoring in Accounting,0,4,0,0,0,4,4,4,4,4,4,4,4,4,0,8,8,8,8,0,2,2,2,0,2
Bachelor of Commerce majoring in Banking and Finance,0,4,0,0,0,4,4,4,4,4,4,4,4,4,8,0,8,8,8,0,2,2,2,0,2
Bachelor of Commerce majoring in Business Analytics,0,4,0,0,0,4,4,4,4,4,4,4,4,4,8,8,0,8,8,0,2,2,2,0,2
Bachelor of Commerce majoring in Financial Planning,0,4,0,0,0,4,4,4,4,4,4,4,4,4,8,8,8,0,8,0,2,2,2,0,2
Bachelor of Commerce majoring in Property,0,4,0,0,0,4,4,4,4,4,4,4,4,4,8,8,8,8,0,0,2,2,2,0,2
Bachelor of Digital Business,5,0,6,6,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bachelor of Economics,0,1,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,0,4,4,0,3
Bachelor of Economics (Honours),0,1,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,4,0,4,0,3
Bachelor of Economics majoring in Advanced Analysis,0,1,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,4,4,0,0,3
Bachelor of International Business,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bachelor of Philosophy, Politics and Economics",0,1,0,0,0,1,1,1,1,1,1,1,1,1,2,2,2,2,2,0,3,3,3,0,0
